rank,feature,importance
1,sensor_060,0.017984404547366894
2,sensor_104,0.015005372042549082
3,sensor_181,0.008863265109140091
4,sensor_478,0.007839722192061235
5,sensor_034,0.007401293666057346
6,sensor_206,0.007346934381224743
7,sensor_342,0.007072719604516113
8,sensor_126,0.0070066357911074805
9,sensor_130,0.006728014859791694
10,sensor_065,0.00626627852084449
11,sensor_131,0.005993940111658575
12,sensor_082,0.005988786347541412
13,sensor_038,0.005868236529338132
14,sensor_214,0.005815360578036566
15,sensor_128,0.0056652320994532036
16,sensor_453,0.005587404189213148
17,sensor_322,0.005560473226136611
18,sensor_059,0.005458372512229523
19,sensor_040,0.005352576768557665
20,sensor_511,0.005342686297046008
